what,kind,bundleId,bundleVersion,description,time
java.version,sysinfo,,,"1.6.0_25",1307675619828
java.vm.info,sysinfo,,,"mixed mode, sharing",1307675619828
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1307675619828
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1307675619828
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1307675619828
java.vm.specification.version,sysinfo,,,"1.0",1307675619828
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1307675619828
java.vm.version,sysinfo,,,"20.0-b11",1307675619828
started,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201102081640,"org.eclipse.epp.usagedata.ui",1307675620915
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1307675622564
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1307675622642
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1307675628019
